gpx_file,relive_id,relive_url,name,video_url,cover_photo,blog_url
2022-05-03 160821 Bela peč kolo__20220503_1608.gpx,899711981,https://www.relive.com/view/v7O95kjRRLO,Bela Peč   🚲&🥾,https://video.relive.com/01253524101_relive_1763582725882.mp4,https://ua.relive.cc/17271464/20220503_183804.jpg_1651595884000.jpg,https://matejlangus.github.io/map/posts/2022/05/bela-pec/index.html
2022-06-27 122517 Mischabell hutte Saas Fee__20220627_1225.gpx,898639405,https://www.relive.com/view/vQvxpy3z9Bv,Mischabelhütte - Saas-fee,https://video.relive.com/29956224101_relive_1765227046600.mp4,https://ua.relive.cc/17271464/20220627_122938.jpg_1656325778000.jpg,https://matejlangus.github.io/map/posts/2022/06/mischabelhutte-saas-fee/index.html
2021-09-09 170712 ferata attersee__20210909_1707.gpx,910180643,https://www.relive.com/view/vKv2QANxj4q,Mahdlgupf,https://video.relive.com/84299054101_relive_1765223567267.mp4,https://ua.relive.cc/17271464/20210909_192006.jpg_1631208004000.jpg,https://matejlangus.github.io/map/posts/2021/09/mahdlgupf/index.html
2023-07-31 163307 Ovčeniki__20230731_1633.gpx,965088268,https://www.relive.com/view/vAOZnK3ezyO,Ovčeniki,https://video.relive.com/73809585101_relive_1765221818108.mp4,https://ua.relive.cc/17271464/20230731_181051.jpg_1690819850000.jpg,https://matejlangus.github.io/map/posts/2023/07/ovceniki/index.html
2024-12-15 062544 Jof di Miezegnot__20241215_0625.gpx,1201286718,https://www.relive.com/view/v26Monj2X3v,"Jôf di Miezegnot, Nebria",https://video.relive.com/a64593d7ef73-a18a-3044-9867-bcd77b85_relive_1743863525026.mp4,https://ua.relive.cc/17271464/IMG20241215094839.jpg_1734252519344.jpg,https://matejlangus.github.io/map/posts/2024/12/jof-di-miezegnot-nebria/index.html
2022-09-02 080537 plezanje košutnikov turn Nordkante__20220902_0805.gpx,895786646,https://www.relive.com/view/vNOP4Gx22YO,Košutnikov turn 🧗‍♂️,https://video.relive.com/69356514101_relive_1765228732037.mp4,https://ua.relive.cc/17271464/20220902_081409.jpg_1662099247000.jpg,https://matejlangus.github.io/map/posts/2022/09/kosutnikov-turn/index.html
2022-06-26 101635 Saas Fee Mischabell hute__20220626_1016.gpx,898639464,https://www.relive.com/view/vr63Ak4wm8v,Mischabelhütte,https://video.relive.com/81066224101_relive_1765226849628.mp4,https://ua.relive.cc/17271464/20220626_125121.jpg_1656240681000.jpg,https://matejlangus.github.io/map/posts/2022/06/mischabelhutte/index.html
2025-03-24 161141 Ojstra peč__20250324_1611.gpx,1244710880,https://www.relive.com/view/vdvm4d3y4xq,Ojstra peč,https://video.relive.com/f5cfb648b08f-3a19-7df4-5369-6d8bda59_relive_1743361940432.mp4,https://ua.relive.cc/17271464/IMG20250324171608.jpg_1742832968867.jpg,https://matejlangus.github.io/map/posts/2025/03/ojstra-pec/index.html
2024-12-29 074225 Čaven__20241229_0742.gpx,1209416982,https://www.relive.com/view/vPOp1mVYeR6,Čaven,https://video.relive.com/8723b9900ea2-c45a-d8d4-8135-ea655092_relive_1736107353960.mp4,https://ua.relive.cc/17271464/IMG20241229122750.jpg_1735471670500.jpg,https://matejlangus.github.io/map/posts/2024/12/caven/index.html
2024-10-29 071338 Monte Grappa__20241029_0713.gpx,1189513716,https://www.relive.com/view/vrqDNPodzLO,Monte Grappa,https://video.relive.com/d35243ee95bb-a60b-80f4-fdeb-3ff3a2db_relive_1743793861619.mp4,https://ua.relive.cc/17271464/IMG20241029101819.jpg_1730193499753.jpg,https://matejlangus.github.io/map/posts/2024/10/monte-grappa/index.html
2024-08-31 085818 zobor ferata__20240831_0858.gpx,1163176311,https://www.relive.com/view/v1vjY88E7Jq,Zobor,https://video.relive.com/3961588b79f3-a9d8-7dd4-78f6-a29c3051_relive_1744971930628.mp4,https://ua.relive.cc/17271464/IMG20240831094727.jpg_1725090447892.jpg,https://matejlangus.github.io/map/posts/2024/08/zobor/index.html
2022-09-05 143929 Soteska Aoos samostan in ferata grčija__20220905_1339.gpx,895786704,https://www.relive.com/view/vmqXBp8jPLO,Aoös,https://video.relive.com/81456514101_relive_1765230841650.mp4,https://ua.relive.cc/17271464/20220905_184602.jpg_1662392762000.jpg,https://matejlangus.github.io/map/posts/2022/09/aoos/index.html
"2022-06-11 053333 Planina Razor, Vogel, Vrh nad Škrbino, Tolmin__20220611_0533.gpx",898639481,https://www.relive.com/view/v7O95kQJWQO,"Vogel, Vrh nad Škrbino 🚲&🥾",https://video.relive.com/22066224101_relive_1765226765489.mp4,https://ua.relive.cc/17271464/20220611_130449.jpg_1654945487000.jpg,https://matejlangus.github.io/map/posts/2022/06/vogel-vrh-nad-skrbino/index.html
2024-05-26 092445 Škofja Loka Pasja ravan__20240526_0924.gpx,1104038426,https://www.relive.com/view/veqz1y1eZ76,Pasja ravan,https://video.relive.com/563b2aba6655-abdb-f444-f78f-17052210_relive_1765216808158.mp4,https://ua.relive.cc/17271464/IMG20240526130526.jpg_1716721526721.jpg,https://matejlangus.github.io/map/posts/2024/05/pasja-ravan/index.html
2023-12-27 055906 Stol__20231227_0559.gpx,1034386192,https://www.relive.com/view/vYvE2ZyndwO,Stol,https://video.relive.com/41650957101_relive_1765219488407.mp4,https://ua.relive.cc/17271464/IMG20231227100910.jpg_1703668150562.jpg,https://matejlangus.github.io/map/posts/2023/12/stol/index.html
2023-06-11 103215 maraton franja mali__20230611_1032.gpx,938357798,https://www.relive.com/view/v26M7xy153v,"TRIGLAV MALI
MARATON FRANJA",https://video.relive.com/49867025101_relive_1765222465949.mp4,https://ua.relive.cc/17271464/20230611_102752.jpg_1686472071000.jpg,https://matejlangus.github.io/map/posts/2023/06/triglav-mali-maraton-franja/index.html
